rank,id,level,name,sector,proxy,n_constituents,coverage,clipped,ret_1m,ret_3m,ret_6m,ret_1y,rs_1m,rs_3m,rs_6m,rs_1y,rs_score,rs_median
37,banks-diversified,industry,Banks - Diversified,Financial Services,10 cons,10,1.0,0,9.3,20.9,11.8,43.1,11.9,7.6,5.3,23.2,10.9,14.43
38,marine-shipping,industry,Marine Shipping,Industrials,23 cons,23,1.0,0,-2.9,5.0,29.4,52.3,-0.3,-8.3,22.9,32.5,10.8,9.9
39,internet-content-information,industry,Internet Content & Information,Communication Services,32 cons,32,1.0,1,-1.5,30.4,12.6,35.6,1.1,17.1,6.0,15.7,10.31,-10.19
40,capital-markets,industry,Capital Markets,Financial Services,48 cons,48,1.0,4,4.5,23.3,10.3,41.4,7.1,10.0,3.8,21.5,9.86,5.07
41,reit-healthcare-facilities,industry,REIT - Healthcare Facilities,Real Estate,17 cons,17,1.0,0,2.6,14.2,20.5,41.6,5.2,0.9,13.9,21.8,9.85,5.23
42,reit-retail,industry,REIT - Retail,Real Estate,25 cons,25,1.0,0,5.9,16.3,23.2,30.2,8.5,3.0,16.6,10.3,9.65,10.15
43,staffing-employment-services,industry,Staffing & Employment Services,Industrials,12 cons,12,1.0,0,17.8,37.1,19.3,-8.3,20.4,23.8,12.8,-28.1,9.42,10.68
44,railroads,industry,Railroads,Industrials,8 cons,8,1.0,0,3.9,15.2,21.9,33.4,6.5,1.9,15.4,13.6,9.19,6.89
45,apparel-manufacturing,industry,Apparel Manufacturing,Consumer Cyclical,18 cons,18,1.0,1,1.5,19.6,16.1,36.9,4.1,6.3,9.6,17.1,8.98,4.7
46,reit-office,industry,REIT - Office,Real Estate,17 cons,17,1.0,0,11.3,34.0,16.5,2.6,14.0,20.7,10.0,-17.3,8.55,11.21
47,drug-manufacturers-general,industry,Drug Manufacturers - General,Healthcare,11 cons,11,1.0,0,7.1,9.9,14.1,46.1,9.7,-3.4,7.6,26.3,8.46,15.75
